;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_ARN_desc;We've had a good run, but it's time to end our rulership of Langobardia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATJ_title;Grant Aceh Independence;;;;;;;;;;;;x,,
gtfo_ATJ_desc;We've had a good run, but it's time to end our rulership of Aceh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AVI_title;Grant Venaissin Independence;;;;;;;;;;;;x,,
gtfo_AVI_desc;We've had a good run, but it's time to end our rulership of Venaissin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BEY_title;Grant Berry Independence;;;;;;;;;;;;x,,
gtfo_BEY_desc;We've had a good run, but it's time to end our rulership of Berry: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BMN_title;Grant Bahmanis Independence;;;;;;;;;;;;x,,
gtfo_BMN_desc;We've had a good run, but it's time to end our rulership of Bahmanis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNG_title;Grant Bengal Independence;;;;;;;;;;;;x,,
gtfo_BNG_desc;We've had a good run, but it's time to end our rulership of Bengal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOU_title;Grant Bourbon Independence;;;;;;;;;;;;x,,
gtfo_BOU_desc;We've had a good run, but it's time to end our rulership of Bourbon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRG_title;Grant Burgundy Independence;;;;;;;;;;;;x,,
gtfo_BRG_desc;We've had a good run, but it's time to end our rulership of Burgundy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRT_title;Grant Brittany Independence;;;;;;;;;;;;x,,
gtfo_BRT_desc;We've had a good run, but it's time to end our rulership of Brittany: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;x,,
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRZ_title;Grant British Brazil Independence;;;;;;;;;;;;x,,
gtfo_BRZ_desc;We've had a good run, but it's time to end our rulership of British Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BTU_title;Grant Butuan Independence;;;;;;;;;;;;x,,
gtfo_BTU_desc;We've had a good run, but it's time to end our rulership of Butuan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUL_title;Grant Moesia Independence;;;;;;;;;;;;x,,
gtfo_BUL_desc;We've had a good run, but it's time to end our rulership of Moesia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAL_title;Grant Great Penglai Independence;;;;;;;;;;;;x,,
gtfo_CAL_desc;We've had a good run, but it's time to end our rulership of Great Penglai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAM_title;Grant Cambodia Independence;;;;;;;;;;;;x,,
gtfo_CAM_desc;We've had a good run, but it's time to end our rulership of Cambodia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CEQ_title;Grant Athnaynese Brazil Independence;;;;;;;;;;;;x,,
gtfo_CEQ_desc;We've had a good run, but it's time to end our rulership of Athnaynese Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHG_title;Grant Chagatai Independence;;;;;;;;;;;;x,,
gtfo_CHG_desc;We've had a good run, but it's time to end our rulership of Chagatai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CKW_title;Grant Chokwe Independence;;;;;;;;;;;;x,,
gtfo_CKW_desc;We've had a good run, but it's time to end our rulership of Chokwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLM_title;Grant Opstandich Republyk Independence;;;;;;;;;;;;x,,
gtfo_CLM_desc;We've had a good run, but it's time to end our rulership of Opstandich Republyk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRI_title;Grant Crimea Independence;;;;;;;;;;;;x,,
gtfo_CRI_desc;We've had a good run, but it's time to end our rulership of Crimea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENG_title;Grant Great Britain Independence;;;;;;;;;;;;x,,
gtfo_ENG_desc;We've had a good run, but it's time to end our rulership of Great Britain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EST_title;Grant Esthlandi Independence;;;;;;;;;;;;x,,
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Esthlandi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FER_title;Grant Ferrara Independence;;;;;;;;;;;;x,,
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Ferrara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJV_title;Grant Viti Levu Independence;;;;;;;;;;;;x,,
gtfo_FJV_desc;We've had a good run, but it's time to end our rulership of Viti Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJW_title;Grant Vanua Levu Independence;;;;;;;;;;;;x,,
gtfo_FJW_desc;We've had a good run, but it's time to end our rulership of Vanua Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FLR_title;Grant Septinsular Republic Independence;;;;;;;;;;;;x,,
gtfo_FLR_desc;We've had a good run, but it's time to end our rulership of Septinsular Republic: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FZA_title;Grant Fezzan Independence;;;;;;;;;;;;x,,
gtfo_FZA_desc;We've had a good run, but it's time to end our rulership of Fezzan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUJ_title;Grant Hamirids Independence;;;;;;;;;;;;x,,
gtfo_GUJ_desc;We've had a good run, but it's time to end our rulership of Hamirids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GYN_title;Grant Aquitaine Independence;;;;;;;;;;;;x,,
gtfo_GYN_desc;We've had a good run, but it's time to end our rulership of Aquitaine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAN_title;Grant Hanover Independence;;;;;;;;;;;;x,,
gtfo_HAN_desc;We've had a good run, but it's time to end our rulership of Hanover: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HRZ_title;Grant Zachlumia Independence;;;;;;;;;;;;x,,
gtfo_HRZ_desc;We've had a good run, but it's time to end our rulership of Zachlumia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HSI_title;Grant Hsipaw Independence;;;;;;;;;;;;x,,
gtfo_HSI_desc;We've had a good run, but it's time to end our rulership of Hsipaw: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWH_title;Grant Hawai'i Independence;;;;;;;;;;;;x,,
gtfo_HWH_desc;We've had a good run, but it's time to end our rulership of Hawai'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWK_title;Grant Kaua'i Independence;;;;;;;;;;;;x,,
gtfo_HWK_desc;We've had a good run, but it's time to end our rulership of Kaua'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWM_title;Grant Maui Independence;;;;;;;;;;;;x,,
gtfo_HWM_desc;We've had a good run, but it's time to end our rulership of Maui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWO_title;Grant O'ahu Independence;;;;;;;;;;;;x,,
gtfo_HWO_desc;We've had a good run, but it's time to end our rulership of O'ahu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRE_title;Grant Ireland Independence;;;;;;;;;;;;x,,
gtfo_IRE_desc;We've had a good run, but it's time to end our rulership of Ireland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAP_title;Grant Tairatochi Independence;;;;;;;;;;;;x,,
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Tairatochi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAR_title;Grant Jarai Independence;;;;;;;;;;;;x,,
gtfo_JAR_desc;We've had a good run, but it's time to end our rulership of Jarai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHO_title;Grant Khorasan Independence;;;;;;;;;;;;x,,
gtfo_KHO_desc;We've had a good run, but it's time to end our rulership of Khorasan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIE_title;Grant Kiev Independence;;;;;;;;;;;;x,,
gtfo_KIE_desc;We've had a good run, but it's time to end our rulership of Kiev: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIT_title;Grant Kitara Independence;;;;;;;;;;;;x,,
gtfo_KIT_desc;We've had a good run, but it's time to end our rulership of Kitara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNI_title;Grant Knights of Pharos Independence;;;;;;;;;;;;x,,
gtfo_KNI_desc;We've had a good run, but it's time to end our rulership of Knights of Pharos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KON_title;Grant Kongo Independence;;;;;;;;;;;;x,,
gtfo_KON_desc;We've had a good run, but it's time to end our rulership of Kongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;x,,
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSJ_title;Grant Kasanje Independence;;;;;;;;;;;;x,,
gtfo_KSJ_desc;We've had a good run, but it's time to end our rulership of Kasanje: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KWN_title;Grant Mong Kawng Independence;;;;;;;;;;;;x,,
gtfo_KWN_desc;We've had a good run, but it's time to end our rulership of Mong Kawng: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LAN_title;Grant Lanfang Independence;;;;;;;;;;;;x,,
gtfo_LAN_desc;We've had a good run, but it's time to end our rulership of Lanfang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNA_title;Grant Lan Na Independence;;;;;;;;;;;;x,,
gtfo_LNA_desc;We've had a good run, but it's time to end our rulership of Lan Na: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Milan Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Milan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOR_title;Grant Lorraine Independence;;;;;;;;;;;;x,,
gtfo_LOR_desc;We've had a good run, but it's time to end our rulership of Lorraine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LSK_title;Grant Atatoshi Independence;;;;;;;;;;;;x,,
gtfo_LSK_desc;We've had a good run, but it's time to end our rulership of Atatoshi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUB_title;Grant Forli Independence;;;;;;;;;;;;x,,
gtfo_LUB_desc;We've had a good run, but it's time to end our rulership of Forli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUC_title;Grant Lucca Independence;;;;;;;;;;;;x,,
gtfo_LUC_desc;We've had a good run, but it's time to end our rulership of Lucca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LXA_title;Grant Lan Xang Independence;;;;;;;;;;;;x,,
gtfo_LXA_desc;We've had a good run, but it's time to end our rulership of Lan Xang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MAZ_title;Grant Mazovia Independence;;;;;;;;;;;;x,,
gtfo_MAZ_desc;We've had a good run, but it's time to end our rulership of Mazovia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MDS_title;Grant Madyas Independence;;;;;;;;;;;;x,,
gtfo_MDS_desc;We've had a good run, but it's time to end our rulership of Madyas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MEX_title;Grant Armagnacée Independence;;;;;;;;;;;;x,,
gtfo_MEX_desc;We've had a good run, but it's time to end our rulership of Armagnacée: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MGD_title;Grant Maguindanao Independence;;;;;;;;;;;;x,,
gtfo_MGD_desc;We've had a good run, but it's time to end our rulership of Maguindanao: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MHR_title;Grant Mahra Independence;;;;;;;;;;;;x,,
gtfo_MHR_desc;We've had a good run, but it's time to end our rulership of Mahra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MLC_title;Grant Malacca Independence;;;;;;;;;;;;x,,
gtfo_MLC_desc;We've had a good run, but it's time to end our rulership of Malacca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MNA_title;Grant Maynila Independence;;;;;;;;;;;;x,,
gtfo_MNA_desc;We've had a good run, but it's time to end our rulership of Maynila: if you love something, let it go!;;;;;;;;;;;;x
gtfo_MTA_title;Grant Mantua Independence;;;;;;;;;;;;x,,
gtfo_MTA_desc;We've had a good run, but it's time to end our rulership of Mantua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_NZL_title;Grant Nova Zel0ndia Independence;;;;;;;;;;;;x,,
gtfo_NZL_desc;We've had a good run, but it's time to end our rulership of Nova Zel0ndia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ORL_title;Grant Orléans Independence;;;;;;;;;;;;x,,
gtfo_ORL_desc;We've had a good run, but it's time to end our rulership of Orléans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAD_title;Grant Angria Independence;;;;;;;;;;;;x,,
gtfo_PAD_desc;We've had a good run, but it's time to end our rulership of Angria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAL_title;Grant County Palatine of the Rhine Independence;;;;;;;;;;;;x,,
gtfo_PAL_desc;We've had a good run, but it's time to end our rulership of County Palatine of the Rhine: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAP_title;Grant The Papal State Independence;;;;;;;;;;;;x,,
gtfo_PAP_desc;We've had a good run, but it's time to end our rulership of The Papal State: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PAT_title;Grant Patani Independence;;;;;;;;;;;;x,,
gtfo_PAT_desc;We've had a good run, but it's time to end our rulership of Patani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PER_title;Grant Persia Independence;;;;;;;;;;;;x,,
gtfo_PER_desc;We've had a good run, but it's time to end our rulership of Persia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PEU_title;Grant Brankou Independence;;;;;;;;;;;;x,,
gtfo_PEU_desc;We've had a good run, but it's time to end our rulership of Brankou: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PGA_title;Grant Perugia Independence;;;;;;;;;;;;x,,
gtfo_PGA_desc;We've had a good run, but it's time to end our rulership of Perugia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PHG_title;Grant Pahang Independence;;;;;;;;;;;;x,,
gtfo_PHG_desc;We've had a good run, but it's time to end our rulership of Pahang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PIS_title;Grant Pisa Independence;;;;;;;;;;;;x,,
gtfo_PIS_desc;We've had a good run, but it's time to end our rulership of Pisa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PRO_title;Grant Anjou Independence;;;;;;;;;;;;x,,
gtfo_PRO_desc;We've had a good run, but it's time to end our rulership of Anjou: if you love something, let it go!;;;;;;;;;;;;x
gtfo_PTG_title;Grant Bavaria-Mariaf0ldian La Plata Independence;;;;;;;;;;;;x,,
gtfo_PTG_desc;We've had a good run, but it's time to end our rulership of Bavaria-Mariaf0ldian La Plata: if you love something, let it go!;;;;;;;;;;;;x
gtfo_QIN_title;Grant Qin Empire Independence;;;;;;;;;;;;x,,
gtfo_QIN_desc;We've had a good run, but it's time to end our rulership of Qin Empire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SAF_title;Grant Transvaal Republyk Independence;;;;;;;;;;;;x,,
gtfo_SAF_desc;We've had a good run, but it's time to end our rulership of Transvaal Republyk: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SER_title;Grant Serbia Independence;;;;;;;;;;;;x,,
gtfo_SER_desc;We've had a good run, but it's time to end our rulership of Serbia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIA_title;Grant Ayutthaya Independence;;;;;;;;;;;;x,,
gtfo_SIA_desc;We've had a good run, but it's time to end our rulership of Ayutthaya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SIN_title;Grant Seljukids Independence;;;;;;;;;;;;x,,
gtfo_SIN_desc;We've had a good run, but it's time to end our rulership of Seljukids: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SLV_title;Grant Nitra Independence;;;;;;;;;;;;x,,
gtfo_SLV_desc;We've had a good run, but it's time to end our rulership of Nitra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SMO_title;Grant Samoa Independence;;;;;;;;;;;;x,,
gtfo_SMO_desc;We've had a good run, but it's time to end our rulership of Samoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SNA_title;Grant Siena Independence;;;;;;;;;;;;x,,
gtfo_SNA_desc;We've had a good run, but it's time to end our rulership of Siena: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SRD_title;Grant Sardinia Independence;;;;;;;;;;;;x,,
gtfo_SRD_desc;We've had a good run, but it's time to end our rulership of Sardinia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUL_title;Grant Sulu Independence;;;;;;;;;;;;x,,
gtfo_SUL_desc;We've had a good run, but it's time to end our rulership of Sulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SUM_title;Grant Song Empire Independence;;;;;;;;;;;;x,,
gtfo_SUM_desc;We've had a good run, but it's time to end our rulership of Song Empire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SVY_title;Grant Savoy Independence;;;;;;;;;;;;x,,
gtfo_SVY_desc;We've had a good run, but it's time to end our rulership of Savoy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWA_title;Grant Kilwa Independence;;;;;;;;;;;;x,,
gtfo_SWA_desc;We've had a good run, but it's time to end our rulership of Kilwa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_SWE_title;Grant Svíþjóð Independence;;;;;;;;;;;;x,,
gtfo_SWE_desc;We've had a good run, but it's time to end our rulership of Svíþjóð: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TGA_title;Grant Tonga Independence;;;;;;;;;;;;x,,
gtfo_TGA_desc;We've had a good run, but it's time to end our rulership of Tonga: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUL_title;Grant Toulouse Independence;;;;;;;;;;;;x,,
gtfo_TUL_desc;We've had a good run, but it's time to end our rulership of Toulouse: if you love something, let it go!;;;;;;;;;;;;x
gtfo_TUN_title;Grant Al-Ayyúbís Independence;;;;;;;;;;;;x,,
gtfo_TUN_desc;We've had a good run, but it's time to end our rulership of Al-Ayyúbís: if you love something, let it go!;;;;;;;;;;;;x
gtfo_USA_title;Grant Nijfryslan Independence;;;;;;;;;;;;x,,
gtfo_USA_desc;We've had a good run, but it's time to end our rulership of Nijfryslan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_VEN_title;Grant Venice Independence;;;;;;;;;;;;x,,
gtfo_VEN_desc;We've had a good run, but it's time to end our rulership of Venice: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WAL_title;Grant Wallachia Independence;;;;;;;;;;;;x,,
gtfo_WAL_desc;We've had a good run, but it's time to end our rulership of Wallachia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_WSI_title;Grant British West Indies Independence;;;;;;;;;;;;x,,
gtfo_WSI_desc;We've had a good run, but it's time to end our rulership of British West Indies: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X00_title;Grant Kingdom of Ruthenia Independence;;;;;;;;;;;;x,,
gtfo_X00_desc;We've had a good run, but it's time to end our rulership of Kingdom of Ruthenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X01_title;Grant Kingdom of Hetumoger Independence;;;;;;;;;;;;x,,
gtfo_X01_desc;We've had a good run, but it's time to end our rulership of Kingdom of Hetumoger: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X02_title;Grant Hardradalan Independence;;;;;;;;;;;;x,,
gtfo_X02_desc;We've had a good run, but it's time to end our rulership of Hardradalan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X03_title;Grant Garðaveldi Independence;;;;;;;;;;;;x,,
gtfo_X03_desc;We've had a good run, but it's time to end our rulership of Garðaveldi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X04_title;Grant Níkisetokakó Independence;;;;;;;;;;;;x,,
gtfo_X04_desc;We've had a good run, but it's time to end our rulership of Níkisetokakó: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X05_title;Grant Bavaria-Mariaföld Independence;;;;;;;;;;;;x,,
gtfo_X05_desc;We've had a good run, but it's time to end our rulership of Bavaria-Mariaföld: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X06_title;Grant Frij Fryslan Independence;;;;;;;;;;;;x,,
gtfo_X06_desc;We've had a good run, but it's time to end our rulership of Frij Fryslan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X07_title;Grant Andorra Independence;;;;;;;;;;;;x,,
gtfo_X07_desc;We've had a good run, but it's time to end our rulership of Andorra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X08_title;Grant Alessandria Independence;;;;;;;;;;;;x,,
gtfo_X08_desc;We've had a good run, but it's time to end our rulership of Alessandria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X09_title;Grant Artois Independence;;;;;;;;;;;;x,,
gtfo_X09_desc;We've had a good run, but it's time to end our rulership of Artois: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X10_title;Grant Kingdom of Jerusalem Independence;;;;;;;;;;;;x,,
gtfo_X10_desc;We've had a good run, but it's time to end our rulership of Kingdom of Jerusalem: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X11_title;Grant Camerino Independence;;;;;;;;;;;;x,,
gtfo_X11_desc;We've had a good run, but it's time to end our rulership of Camerino: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X12_title;Grant Dapitan Independence;;;;;;;;;;;;x,,
gtfo_X12_desc;We've had a good run, but it's time to end our rulership of Dapitan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X13_title;Grant The Isleta Federation Independence;;;;;;;;;;;;x,,
gtfo_X13_desc;We've had a good run, but it's time to end our rulership of The Isleta Federation: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X14_title;Grant Fraticelli Papacy Independence;;;;;;;;;;;;x,,
gtfo_X14_desc;We've had a good run, but it's time to end our rulership of Fraticelli Papacy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X15_title;Grant Helfenstein Independence;;;;;;;;;;;;x,,
gtfo_X15_desc;We've had a good run, but it's time to end our rulership of Helfenstein: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X16_title;Grant Hanau Independence;;;;;;;;;;;;x,,
gtfo_X16_desc;We've had a good run, but it's time to end our rulership of Hanau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X17_title;Grant Kamusasuka Independence;;;;;;;;;;;;x,,
gtfo_X17_desc;We've had a good run, but it's time to end our rulership of Kamusasuka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X18_title;Grant Shihoteari Independence;;;;;;;;;;;;x,,
gtfo_X18_desc;We've had a good run, but it's time to end our rulership of Shihoteari: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X19_title;Grant Azovia Independence;;;;;;;;;;;;x,,
gtfo_X19_desc;We've had a good run, but it's time to end our rulership of Azovia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X20_title;Grant Yakutistan Independence;;;;;;;;;;;;x,,
gtfo_X20_desc;We've had a good run, but it's time to end our rulership of Yakutistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X21_title;Grant Knights of Holy Mary Independence;;;;;;;;;;;;x,,
gtfo_X21_desc;We've had a good run, but it's time to end our rulership of Knights of Holy Mary: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X22_title;Grant Kulm Independence;;;;;;;;;;;;x,,
gtfo_X22_desc;We've had a good run, but it's time to end our rulership of Kulm: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X23_title;Grant Livonia Independence;;;;;;;;;;;;x,,
gtfo_X23_desc;We've had a good run, but it's time to end our rulership of Livonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X24_title;Grant Mong Mit Independence;;;;;;;;;;;;x,,
gtfo_X24_desc;We've had a good run, but it's time to end our rulership of Mong Mit: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X25_title;Grant Marche Independence;;;;;;;;;;;;x,,
gtfo_X25_desc;We've had a good run, but it's time to end our rulership of Marche: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X26_title;Grant Rimini Independence;;;;;;;;;;;;x,,
gtfo_X26_desc;We've had a good run, but it's time to end our rulership of Rimini: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X27_title;Grant Oels Independence;;;;;;;;;;;;x,,
gtfo_X27_desc;We've had a good run, but it's time to end our rulership of Oels: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X28_title;Grant Opole Independence;;;;;;;;;;;;x,,
gtfo_X28_desc;We've had a good run, but it's time to end our rulership of Opole: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X29_title;Grant Orvieto Independence;;;;;;;;;;;;x,,
gtfo_X29_desc;We've had a good run, but it's time to end our rulership of Orvieto: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X30_title;Grant Sayn Independence;;;;;;;;;;;;x,,
gtfo_X30_desc;We've had a good run, but it's time to end our rulership of Sayn: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X31_title;Grant Shams Caliphate Independence;;;;;;;;;;;;x,,
gtfo_X31_desc;We've had a good run, but it's time to end our rulership of Shams Caliphate: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X32_title;Grant Saffarids Independence;;;;;;;;;;;;x,,
gtfo_X32_desc;We've had a good run, but it's time to end our rulership of Saffarids: if you love something, let it go!;;;;;;;;;;;;x
